#TIME(DAYS_BJD-2454833),FLUX(NORMALIZED)
2.849795332447363762e+03,9.579710130487165687e-01
2.849815764275634137e+03,9.577822183552245905e-01
2.849836196003445366e+03,9.570200290740633609e-01
2.849856627631023002e+03,9.564567773972905140e-01
2.849877059458362055e+03,9.570752514331006822e-01
2.849897491185474792e+03,9.575721262439438330e-01
2.849917922912354697e+03,9.579581501498598550e-01
2.849938354638994497e+03,9.620032149551331901e-01
2.849958786365408741e+03,9.717445610980703918e-01
2.849979218091590155e+03,9.837793595486356013e-01
2.849999649817764293e+03,9.935326542143712025e-01
2.850020081543480046e+03,9.965657494325823595e-01
2.850040513368963730e+03,9.976105069849849905e-01
2.850060944994205784e+03,9.990407160456634683e-01
2.850081376719223044e+03,1.001036571089128691e+00
2.850101808544000960e+03,1.002684972371284067e+00
2.850122240168551798e+03,1.005471230235030600e+00
2.850142671892870567e+03,1.008209695243228454e+00
2.850163103716957266e+03,1.009787742925483789e+00
2.850183535340802337e+03,1.012716736514029048e+00
2.850224398888036376e+03,1.012898185260750150e+00
2.850244830511190230e+03,1.013884013014943575e+00
2.850265262234112015e+03,1.015894747646374885e+00
2.850285694056801731e+03,1.017580833034563481e+00
2.850306125679249817e+03,1.018796873096585287e+00
2.850326557401705941e+03,1.019909151817445236e+00
2.850346989223689889e+03,1.021172337337182379e+00
2.850367420845446759e+03,1.021671241110789552e+00
2.850387852666972321e+03,1.021416591114318706e+00
2.850408284388264292e+03,1.022141804670156029e+00
2.850428716109548986e+03,1.022096598681468738e+00
2.850449147830375296e+03,1.020106962920919180e+00
2.850469579550961498e+03,1.019290004073108324e+00
2.850490011271322146e+03,1.016698787458726549e+00
2.850510442991682794e+03,1.014724847085099357e+00
2.850530874711577781e+03,1.013050028913016432e+00
2.850551306431232661e+03,1.011031434828497444e+00
2.850571738250895578e+03,1.009633444027763893e+00
2.850592169870084035e+03,1.006764254591603125e+00
2.850612601589280530e+03,1.004970567784137181e+00
2.850633033408012125e+03,1.003938481081131595e+00
2.850653465026742197e+03,1.001913218769152847e+00
2.850673896845000854e+03,1.002175989326487215e+00
2.850714760181057500e+03,9.931273831532025920e-01
2.850735191998857772e+03,9.887727304587736743e-01
2.850755623716191621e+03,9.849253974578793258e-01
2.850776055333524710e+03,9.812446141940243116e-01
2.850796487150619214e+03,9.782480463207187116e-01
2.850816918867487402e+03,9.756141421061015340e-01
2.850837350483881892e+03,9.741804146367059047e-01
2.850857782300285180e+03,9.727680293800297084e-01
2.850878213916454115e+03,9.677762516835319850e-01
2.850898645632390981e+03,9.452913774000872849e-01
2.850919077448088501e+03,9.146913936606128059e-01
2.850939509163559705e+03,8.827794184743631423e-01
2.850959940778790042e+03,8.629467839688859110e-01
2.850980372593796346e+03,8.587771023559067629e-01
2.851000804308569059e+03,8.581701512699048129e-01
2.851021236023101665e+03,8.585350631664706578e-01
2.851041667737408716e+03,8.578042221729732519e-01
2.851062099451482936e+03,8.580981865539569764e-01
2.851082531165317050e+03,8.583105724186419483e-01
2.851102962878925609e+03,8.589997307979021501e-01
2.851123394592534169e+03,8.622089796417735652e-01
2.851143826405670552e+03,8.754600529609929405e-01
2.851164258018812689e+03,9.056761754716426971e-01
2.851205121544160647e+03,9.649446507682075680e-01
2.851225553156371461e+03,9.813979187098386125e-01
2.851245984868583037e+03,9.865177889283440749e-01
2.851266416680322436e+03,9.917313753108411012e-01
2.851286848292067589e+03,9.956333816227520561e-01
2.851307280103581434e+03,9.997116101653159559e-01
2.851327711814854410e+03,1.004082063196213737e+00
2.851348143425901071e+03,1.007674156418551847e+00
2.851368575236716424e+03,1.009349868028873720e+00
2.851389006947290909e+03,1.010206048064523854e+00
2.851409438657639839e+03,1.011405343217516961e+00
