#Time Flux Flux-Trend Trend
2849.79533245 0.95797101 0.96372339 -0.00575238
2849.81576428 0.95778222 0.96387265 -0.00609043
2849.83619600 0.95702003 0.96321616 -0.00619613
2849.85662763 0.95645678 0.96260881 -0.00615204
2849.87705946 0.95707525 0.96315999 -0.00608474
2849.89749119 0.95757213 0.96359452 -0.00602239
2849.91792291 0.95795815 0.96379981 -0.00584166
2849.93835464 0.96200321 0.96762333 -0.00562011
2849.95878637 0.97174456 0.97705948 -0.00531492
2849.97921809 0.98377936 0.98878925 -0.00500989
2849.99964982 0.99353265 0.99820253 -0.00466987
2850.02008154 0.99656575 1.00071988 -0.00415413
2850.04051337 0.99761051 1.00171031 -0.00409980
2850.06094499 0.99904072 1.00272697 -0.00368625
2850.08137672 1.00103657 1.00431864 -0.00328207
2850.10180854 1.00268497 1.00532784 -0.00264287
2850.12224017 1.00547123 1.00729927 -0.00182804
2850.14267189 1.00820970 1.00921026 -0.00100056
2850.16310372 1.00978774 1.00992207 -0.00013432
2850.18353534 1.01271674 1.01203649 0.00068024
2850.22439889 1.01289819 1.01074323 0.00215495
2850.24483051 1.01388401 1.01096901 0.00291500
2850.26526223 1.01589475 1.01227303 0.00362172
2850.28569406 1.01758083 1.01345539 0.00412545
2850.30612568 1.01879687 1.01429037 0.00450651
2850.32655740 1.01990915 1.01528833 0.00462082
2850.34698922 1.02117234 1.01650905 0.00466329
2850.36742085 1.02167124 1.01711992 0.00455132
2850.38785267 1.02141659 1.01699894 0.00441765
2850.40828439 1.02214180 1.01765546 0.00448634
2850.42871611 1.02209660 1.01765296 0.00444364
2850.44914783 1.02010696 1.01568324 0.00442372
2850.46957955 1.01929000 1.01495036 0.00433964
2850.49001127 1.01669879 1.01250750 0.00419129
2850.51044299 1.01472485 1.01056845 0.00415640
2850.53087471 1.01305003 1.00899510 0.00405493
2850.55130643 1.01103143 1.00746591 0.00356553
2850.57173825 1.00963344 1.00661439 0.00301905
2850.59216987 1.00676425 1.00445529 0.00230897
2850.61260159 1.00497057 1.00366254 0.00130803
2850.63303341 1.00393848 1.00348851 0.00044997
2850.65346503 1.00191322 1.00233382 -0.00042060
2850.67389685 1.00217599 1.00332941 -0.00115342
2850.71476018 0.99312738 0.99477766 -0.00165028
2850.73519200 0.98877273 0.99022092 -0.00144819
2850.75562372 0.98492540 0.98610713 -0.00118173
2850.77605533 0.98124461 0.98209004 -0.00084542
2850.79648715 0.97824805 0.97926252 -0.00101448
2850.81691887 0.97561414 0.97673369 -0.00111954
2850.83735048 0.97418041 0.97526064 -0.00108023
2850.85778230 0.97276803 0.97396171 -0.00119368
2850.87821392 0.96777625 0.96879629 -0.00102003
2850.89864563 0.94529138 0.94617526 -0.00088389
2850.91907745 0.91469139 0.91539344 -0.00070205
2850.93950916 0.88277942 0.88331067 -0.00053125
2850.95994078 0.86294678 0.86340642 -0.00045963
2850.98037259 0.85877710 0.85925664 -0.00047953
2851.00080431 0.85817015 0.85859142 -0.00042127
2851.02123602 0.85853506 0.85846429 0.00007077
2851.04166774 0.85780422 0.85785342 -0.00004920
2851.06209945 0.85809819 0.85818467 -0.00008649
2851.08253117 0.85831057 0.85843919 -0.00012862
2851.10296288 0.85899973 0.85912342 -0.00012368
2851.12339459 0.86220898 0.86216063 0.00004835
2851.14382641 0.87546005 0.87482618 0.00063387
2851.16425802 0.90567618 0.90437179 0.00130438
2851.20512154 0.96494465 0.96232637 0.00261828
2851.22555316 0.98139792 0.97819069 0.00320723
2851.24598487 0.98651779 0.98270880 0.00380899
2851.26641668 0.99173138 0.98768347 0.00404790
2851.28684829 0.99563338 0.99120585 0.00442753
2851.30728010 0.99971161 0.99454435 0.00516726
2851.32771181 1.00408206 0.99808145 0.00600061
2851.34814343 1.00767416 1.00097862 0.00669554
2851.36857524 1.00934987 1.00282261 0.00652725
