#Time Flux Flux-Trend Trend
2849.79533245 -0.00575238 -0.00250513 -0.00324725
2849.81576428 -0.00609043 -0.00324934 -0.00284109
2849.83619600 -0.00619613 -0.00374947 -0.00244666
2849.85662763 -0.00615204 -0.00411509 -0.00203694
2849.87705946 -0.00608474 -0.00443061 -0.00165413
2849.89749119 -0.00602239 -0.00474132 -0.00128107
2849.91792291 -0.00584166 -0.00494869 -0.00089298
2849.93835464 -0.00562011 -0.00510547 -0.00051465
2849.95878637 -0.00531492 -0.00516114 -0.00015378
2849.97921809 -0.00500989 -0.00560614 0.00059626
2849.99964982 -0.00466987 -0.00613091 0.00146104
2850.02008154 -0.00415413 -0.00633436 0.00218024
2850.04051337 -0.00409980 -0.00665879 0.00255899
2850.06094499 -0.00368625 -0.00697503 0.00328878
2850.08137672 -0.00328207 -0.00725778 0.00397571
2850.10180854 -0.00264287 -0.00724728 0.00460441
2850.12224017 -0.00182804 -0.00703517 0.00520712
2850.14267189 -0.00100056 -0.00671113 0.00571056
2850.16310372 -0.00013432 -0.00626647 0.00613215
2850.18353534 0.00068024 -0.00582299 0.00650324
2850.22439889 0.00215495 -0.00485458 0.00700953
2850.24483051 0.00291500 -0.00431438 0.00722937
2850.26526223 0.00362172 -0.00361390 0.00723562
2850.28569406 0.00412545 -0.00309993 0.00722538
2850.30612568 0.00450651 -0.00264188 0.00714838
2850.32655740 0.00462082 -0.00239810 0.00701892
2850.34698922 0.00466329 -0.00209308 0.00675637
2850.36742085 0.00455132 -0.00202127 0.00657259
2850.38785267 0.00441765 -0.00191738 0.00633503
2850.40828439 0.00448634 -0.00146180 0.00594815
2850.42871611 0.00444364 -0.00112653 0.00557017
2850.44914783 0.00442372 -0.00070905 0.00513277
2850.46957955 0.00433964 -0.00034765 0.00468729
2850.49001127 0.00419129 -0.00002434 0.00421562
2850.51044299 0.00415640 0.00044546 0.00371094
2850.53087471 0.00405493 0.00057674 0.00347818
2850.55130643 0.00356553 0.00056003 0.00300549
2850.57173825 0.00301905 0.00049737 0.00252168
2850.59216987 0.00230897 0.00024229 0.00206668
2850.61260159 0.00130803 -0.00046055 0.00176858
2850.63303341 0.00044997 -0.00095819 0.00140816
2850.65346503 -0.00042060 -0.00151950 0.00109889
2850.67389685 -0.00115342 -0.00191514 0.00076172
2850.71476018 -0.00165028 -0.00180678 0.00015650
2850.73519200 -0.00144819 -0.00142548 -0.00002271
2850.75562372 -0.00118173 -0.00098012 -0.00020162
2850.77605533 -0.00084542 -0.00041742 -0.00042800
2850.79648715 -0.00101448 -0.00044575 -0.00056872
2850.81691887 -0.00111954 -0.00034273 -0.00077682
2850.83735048 -0.00108023 -0.00015089 -0.00092934
2850.85778230 -0.00119368 -0.00020243 -0.00099125
2850.87821392 -0.00102003 0.00007182 -0.00109186
2850.89864563 -0.00088389 0.00035882 -0.00124270
2850.91907745 -0.00070205 0.00070452 -0.00140657
2850.93950916 -0.00053125 0.00110635 -0.00163761
2850.95994078 -0.00045963 0.00144048 -0.00190012
2850.98037259 -0.00047953 0.00162415 -0.00210368
2851.00080431 -0.00042127 0.00188178 -0.00230304
2851.02123602 0.00007077 0.00244379 -0.00237302
2851.04166774 -0.00004920 0.00253188 -0.00258108
2851.06209945 -0.00008649 0.00268095 -0.00276744
2851.08253117 -0.00012862 0.00281172 -0.00294033
2851.10296288 -0.00012368 0.00296448 -0.00308816
2851.12339459 0.00004835 0.00323451 -0.00318616
2851.14382641 0.00063387 0.00388931 -0.00325543
2851.16425802 0.00130438 0.00445181 -0.00314743
2851.20512154 0.00261828 0.00543154 -0.00281326
2851.22555316 0.00320723 0.00576743 -0.00256020
2851.24598487 0.00380899 0.00608630 -0.00227731
2851.26641668 0.00404790 0.00621531 -0.00216741
2851.28684829 0.00442753 0.00629574 -0.00186821
2851.30728010 0.00516726 0.00666798 -0.00150072
2851.32771181 0.00600061 0.00716979 -0.00116919
2851.34814343 0.00669554 0.00748008 -0.00078455
2851.36857524 0.00652725 0.00721790 -0.00069065
2851.38900695 0.00710799 0.00748664 -0.00037865
2851.40943866 0.00708929 0.00719340 -0.00010411
2851.45030208 0.00623188 0.00580604 0.00042584
2851.47073379 0.00545839 0.00477307 0.00068532
2851.49116550 0.00467571 0.00379490 0.00088081
2851.51159721 0.00420480 0.00320660 0.00099820
2851.53202892 0.00284833 0.00188946 0.00095887
2851.55246062 0.00155741 0.00066609 0.00089131
2851.57289233 0.00021568 -0.00057392 0.00078959
2851.59332394 -0.00121088 -0.00191955 0.00070868
2851.61375575 -0.00174569 -0.00241741 0.00067172
2851.63418746 -0.00255987 -0.00323098 0.00067110
2851.65461926 -0.00335643 -0.00401522 0.00065879
2851.69548258 -0.00497212 -0.00565200 0.00067988
2851.71591439 -0.00573270 -0.00648361 0.00075091
2851.73634599 -0.00618586 -0.00706761 0.00088176
2851.75677770 -0.00648126 -0.00758991 0.00110865
2851.77720951 -0.00661188 -0.00793427 0.00132238
2851.79764111 -0.00666632 -0.00827544 0.00160912
2851.81807282 -0.00645354 -0.00839493 0.00194139
2851.83850462 -0.00621703 -0.00845376 0.00223673
2851.85893623 -0.00574913 -0.00822130 0.00247217
2851.87936794 -0.00517569 -0.00797193 0.00279625
2851.89979974 -0.00442277 -0.00759023 0.00316747
2851.92023135 -0.00327990 -0.00676392 0.00348403
2851.94066305 -0.00200336 -0.00578431 0.00378095
2851.96109486 -0.00080965 -0.00486154 0.00405189
2851.98152656 0.00025247 -0.00404742 0.00429990
2852.00195826 0.00079640 -0.00372703 0.00452343
2852.02238997 0.00146063 -0.00314094 0.00460157
2852.04282167 0.00196431 -0.00258491 0.00454922
2852.06325347 0.00245814 -0.00197667 0.00443481
2852.08368508 0.00269998 -0.00145290 0.00415288
2852.10411678 0.00276702 -0.00100392 0.00377094
2852.12454858 0.00280281 -0.00044154 0.00324434
2852.14498019 0.00266163 0.00016553 0.00249611
2852.18584369 0.00178519 0.00092596 0.00085923
2852.20627529 0.00099890 0.00096419 0.00003471
2852.22670699 0.00018824 0.00093920 -0.00075096
2852.24713880 -0.00079860 0.00081834 -0.00161695
2852.26757040 -0.00202972 0.00042597 -0.00245569
2852.28800210 -0.00335521 -0.00005595 -0.00329926
